DropQ_0_GROUP_1,DropQ_0_1_RANK,DropQ_1_GROUP_1,DropQ_0_GROUP_2,DropQ_0_2_RANK,DropQ_1_GROUP_2,DropQ_0_GROUP_3,DropQ_0_3_RANK,DropQ_1_GROUP_3,DropQ_0_GROUP_4,DropQ_0_4_RANK,DropQ_1_GROUP_4,DropQ_0_GROUP_5,DropQ_0_5_RANK,DropQ_1_GROUP_5,DropQ_0_GROUP_6,DropQ_0_6_RANK,DropQ_1_GROUP_6,DropQ_0_GROUP_7,DropQ_0_7_RANK,DropQ_1_GROUP_7,DropQ_0_GROUP_8,DropQ_0_8_RANK,DropQ_1_GROUP_8,DropQ_0_GROUP_9,DropQ_0_9_RANK,DropQ_1_GROUP_9,PushQ_0_GROUP_1,PushQ_0_1_RANK,PushQ_1_GROUP_1,PushQ_0_GROUP_2,PushQ_0_2_RANK,PushQ_1_GROUP_2,PushQ_0_GROUP_3,PushQ_0_3_RANK,PushQ_1_GROUP_3,PushQ_0_GROUP_4,PushQ_0_4_RANK,PushQ_1_GROUP_4,PushQ_0_GROUP_5,PushQ_0_5_RANK,PushQ_1_GROUP_5,PushQ_0_GROUP_6,PushQ_0_6_RANK,PushQ_1_GROUP_6,PushQ_0_GROUP_7,PushQ_0_7_RANK,PushQ_1_GROUP_7,PushQ_0_GROUP_8,PushQ_0_8_RANK,PushQ_1_GROUP_8,PushQ_0_GROUP_9,PushQ_0_9_RANK,PushQ_1_GROUP_9,PullQ_0_GROUP_1,PullQ_0_1_RANK,PullQ_1_GROUP_1,PullQ_0_GROUP_2,PullQ_0_2_RANK,PullQ_1_GROUP_2,PullQ_0_GROUP_3,PullQ_0_3_RANK,PullQ_1_GROUP_3,PullQ_0_GROUP_4,PullQ_0_4_RANK,PullQ_1_GROUP_4,PullQ_0_GROUP_5,PullQ_0_5_RANK,PullQ_1_GROUP_5,PullQ_0_GROUP_6,PullQ_0_6_RANK,PullQ_1_GROUP_6,PullQ_0_GROUP_7,PullQ_0_7_RANK,PullQ_1_GROUP_7,PullQ_0_GROUP_8,PullQ_0_8_RANK,PullQ_1_GROUP_8,PullQ_0_GROUP_9,PullQ_0_9_RANK,PullQ_1_GROUP_9,scene,condition,CATCH2,CATCH3,invalid,ATESTQ_0_2_RANK,ATESTQ_0_4_RANK,ATESTQ_0_5_RANK,ATESTQ_1_1_RANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,4.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,"It was to create an image in my mind following an audio clip describing what to imagine, and then answer questions related to the imagined image. ",the direction item was being pushed,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the dropped thing,6.0,,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the dropped thing,2.0,,The color of the other thing,5.0,,The apparent material of the dropped thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,Mentally visualizing a dropped object next to another object for 250 milliseconds then identify and rank attributes of what I visualized ,Apparent color of the item being dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,6.0,,,,The trajectory of the dropped thing,A person who dropped the thing,1.0,,The type of the thing being dropped (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),3.0,,The color of the dropped thing,7.0,,The color of the other thing,4.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,To listen to a descriptor and envision it in my head for 2 seconds as vividly as possible,The type of thing that was dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,A person who dropped the thing,3.0,,The type of the thing being dropped (e.g. what object was it?),2.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,"Listen to a description of an event and imagine it, in this case something being dropped next to another thing.",The color of the thing that was dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,A person who dropped the thing,6.0,,The type of the thing being dropped (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the dropped thing,The color of the other thing,4.0,,The apparent material of the dropped thing,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,group what i imagine in  a box,the color of the dropped thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,A person who dropped the thing,4.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,I was to imagine dropping a thing next to another thing.,Who dropped the thing.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),5.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,4.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,I was asked to imagine pushing an object with another object and choosing properties and putting them in to 2 different boxes.,surface/floor,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),6.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,4.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pushed thing,3.0,,The color of the other thing,1.0,,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,Visualize an object pushing another object,The color of the pushed thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the dropped thing,2.0,,The trajectory of the dropped thing,6.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),7.0,,The color of the dropped thing,4.0,,The color of the other thing,8.0,,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,To imagine a scene based on an audio prompt and describe properties of the scene we imagined. ,The size of the dropped thing.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,3.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,To imagine what the audio described.  ,The color of the object.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),7.0,,The size of the dropped thing,4.0,,The trajectory of the dropped thing,6.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the dropped thing,5.0,,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,Arranging by order something you saw in your imagination,trajectory of object falling,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The weight of the pushed thing,1.0,,The direction of movement of the pushed thing,5.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),6.0,,The type of the other thing (e.g. what object was it?),8.0,,The color of the pushed thing,7.0,,The color of the other thing,2.0,,The apparent material of the pushed thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,To vividly imagine via audio what came to our minds when describing what was said,The material that the object was made of,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the pulled thing,4.0,,The trajectory of the pulled thing,3.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,500ms,My task in this study was to imagine pulling something out of another thing and reflecting on the properties I imagined (or not) and ranking the things I imagined in order of when I thought about them.,The color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),,,The size of the pulled thing,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the pulled thing,3.0,,The color of the other thing,4.0,,The apparent material of the pulled thing,5.0,,Pull,250ms,Imagine a scenario given by the audio recording and dragging and dropping the details in one of the two boxes. Then placing the things in the first box in the order that I thought of them.,The color of the object being dragged.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,2.0,,The trajectory of the dropped thing,5.0,,A person who dropped the thing,6.0,,,,The type of the thing being dropped (e.g. what object was it?),,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,3.0,,The color of the other thing,4.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,I had to imagine an image happening in my mind.,The color of the dropped item.,,2.0,1.0,3.0,1.0
,,The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),,,The size of the dropped thing,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the dropped thing,4.0,,The color of the other thing,3.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,To imagine something being dropped.,What color is the thing being dropped.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The size of the pulled thing,The trajectory of the pulled thing,3.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),4.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,1000ms,I imagined a scene and then answered questions about it.,The color of the thing that was being pulled.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The weight of the pushed thing,4.0,,The direction of movement of the pushed thing,3.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,Take the image that I imagined and separate the different characteristics into two distinct categories,What was the color of the object being pushed.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,,,A person who dropped the thing,,,The type of the thing being dropped (e.g. what object was it?),,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,"We had to listen to an audio and follow instructions to imagine a scenario. Then, we had to sort what was correct and not in a list from the instructions.",The apparent location of one item to one another.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,4.0,,The trajectory of the dropped thing,5.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),6.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,I did imagine some actions (something being dropped beside another thing) based on the scene described to me in an audio.,The location of the object being dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the dropped thing,3.0,,,,The trajectory of the dropped thing,,,A person who dropped the thing,,,The type of the thing being dropped (e.g. what object was it?),The type of the other thing (e.g. what object was it?),1.0,,The color of the dropped thing,2.0,,The color of the other thing,4.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,Imagining a scene then reporting back what mental images came to mind.,The trajectory of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The weight of the pushed thing,5.0,,The direction of movement of the pushed thing,1.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),4.0,,The type of the other thing (e.g. what object was it?),3.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,listening to an audio clip and imagining the task they told me,the weight of the object,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,3.0,,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,imagine something within a short time frame,the color of the dropped thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,4.0,,,,The trajectory of the dropped thing,A person who dropped the thing,5.0,,The type of the thing being dropped (e.g. what object was it?),6.0,,The type of the other thing (e.g. what object was it?),7.0,,,,The color of the dropped thing,The color of the other thing,2.0,,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,To imagine dropping a thing next to another thing then answer questions ,The color of the object ,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the pulled thing,4.0,,The trajectory of the pulled thing,5.0,,A person who pulled the thing,7.0,,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,6.0,,Pull,1000ms,To imagine a scene and think about how we imagined the scene,the trajectory of the thing being pulled out,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The size of the pulled thing,5.0,,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,6.0,,,,The color of the other thing,The apparent material of the pulled thing,3.0,,Pull,2000ms,Using my imagination to envision something being pulled out of another thing.,The color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,3.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,I had to imagine a scene,type of item being pushed,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The weight of the pushed thing,6.0,,The direction of movement of the pushed thing,1.0,,A surface/table/floor,4.0,,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),3.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,I was given a scenario to imagine and then rank the properties I thought about first and the most while putting this image together in my mind.,"I was visualizing the type of thing being pushed,",,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the pulled thing,5.0,,The trajectory of the pulled thing,3.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,2000ms,I had to listen to audio and imagine a scenario.,The trajectory of the item.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,5.0,,A surface/table/floor,3.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pushed thing,6.0,,The color of the other thing,8.0,,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,"I had to listen to an audio of a scenario and imagine it. Then I had to choose from a list of options, what I imagined in order tan they came to mind. I also had to seperate out the things that I didn't imagine.",The location of the object I had in mind.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The size of the dropped thing,1.0,,The trajectory of the dropped thing,3.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),5.0,,,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,2.0,,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,imagine an object dropped next to another object,trajectory of falling object,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,4.0,,,,The trajectory of the dropped thing,A person who dropped the thing,5.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,3.0,,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,I was asked to imagine a scene and create my mental image.,The color of the other thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,6.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),8.0,,The color of the dropped thing,7.0,,The color of the other thing,4.0,,The apparent material of the dropped thing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,To imagine something dropped next to a thing.,The color of the object.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the pushed thing,6.0,,,,The color of the other thing,The apparent material of the pushed thing,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,"I had to listen to audio and imagine what was being described in the audio, then rank items that related to what I had imagined.",One of the properties I was asked to drag into the boxes was the direction the object was being pushed in.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),8.0,,The size of the dropped thing,4.0,,The trajectory of the dropped thing,7.0,,A person who dropped the thing,1.0,,The type of the thing being dropped (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),3.0,,The color of the dropped thing,6.0,,The color of the other thing,5.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,"imagining a short scenario very quickly, and then describing it in certain categories",the color of the dropped thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,3.0,,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,1000ms,to imagine an object being pulled out of another object,the color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,5.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),7.0,,The color of the pushed thing,4.0,,The color of the other thing,6.0,,The apparent material of the pushed thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,To image the scene requested ,the color of the thing being pushed,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the pulled thing,3.0,,The trajectory of the pulled thing,4.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),8.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the pulled thing,7.0,,The color of the other thing,6.0,,The apparent material of the pulled thing,5.0,,Pull,1000ms,Imagine a scenario and describe what you imagined with boxes.,Color of thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The size of the pulled thing,The trajectory of the pulled thing,2.0,,A person who pulled the thing,3.0,,,,The type of the thing being pulled (e.g. what object was it?),,,The type of the other thing (e.g. what object was it?),,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,1.0,,Pull,500ms,To imagine something pulled from another thing,The person pulling it,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),6.0,,The weight of the pushed thing,9.0,,The direction of movement of the pushed thing,7.0,,A surface/table/floor,5.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pushed thing,3.0,,The color of the other thing,8.0,,The apparent material of the pushed thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms, imagine a scene given as an audio prompt,the material of the object being pushed,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),6.0,,The size of the dropped thing,3.0,,The trajectory of the dropped thing,2.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),5.0,,The color of the dropped thing,4.0,,The color of the other thing,7.0,,The apparent material of the dropped thing,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,I listened to an ai tell me to imagine something and I imagined it,The trajectory of the dropped thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the dropped thing,2.0,,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,3.0,,,,The color of the other thing,The apparent material of the dropped thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,I imagined dropping one item next to another item,the type of material of item dropped,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,A surface/table/floor,1.0,,The type of the thing being pushed (e.g. what object was it?),4.0,,The type of the other thing (e.g. what object was it?),5.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,"MY task in this study was to listen to an audio and imagine quickly the scenario in my head, then I was to rank the things I may or may not have imagined in the boxes provided. ",The surface or floor being imagined,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the pulled thing,2.0,,The trajectory of the pulled thing,5.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,6.0,,Pull,500ms,Imagining pulling something out of another thing,the size of the thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,4.0,,The trajectory of the pulled thing,2.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the pulled thing,5.0,,The color of the other thing,6.0,,The apparent material of the pulled thing,3.0,,Pull,2000ms,describing an imagines scenario based off of a brief audio statement. Answers were categorized by order perceived,the trajectory of the pulled item ,,2.0,1.0,3.0,1.0
